ucb,ts,ovr,egr,egr2,agr,agr2,efr,ac,aac,sft
26,26,26,27,27,28,28,29,30,30,29
25,25,25,27,27,23,24,25,33,33,26
24,24,24,27,27,24,25,19,31,31,24
25,25,25,24,24,20,19,30,29,29,22
24,24,24,22,22,22,20,29,26,26,18
24,24,24,23,23,30,25,28,28,28,23
21,21,21,20,20,22,22,23,26,26,22
27,27,27,26,26,23,22,20,28,28,26
25,25,25,25,25,22,30,21,27,27,26
29,29,29,29,29,25,31,19,27,27,26
23,23,23,23,23,27,25,21,23,23,22
25,25,25,24,25,25,28,28,22,22,27
29,29,29,27,27,28,29,25,24,24,25
32,32,32,33,31,27,30,19,21,21,32
24,24,24,23,28,23,24,25,22,22,27
31,31,31,33,33,23,27,24,22,22,28
24,24,24,22,22,26,29,22,23,23,23
30,30,30,28,28,29,30,18,22,22,26
31,31,31,30,29,25,30,27,23,23,31
26,26,26,25,24,23,25,28,23,23,29
27,27,27,27,28,23,27,31,23,23,27
27,27,27,26,26,21,25,21,23,23,23
20,20,20,23,19,21,21,29,22,22,25
28,28,28,24,24,26,30,23,24,24,28
29,29,29,30,30,28,29,29,21,21,29
26,26,26,27,26,27,25,27,24,24,25
19,19,19,19,18,27,21,27,22,22,21
18,18,18,20,16,20,19,25,22,22,18
25,25,25,26,26,24,29,21,18,18,21
20,20,20,21,22,24,20,23,18,18,21
22,22,22,21,23,27,23,31,19,19,24
23,23,23,30,27,25,24,28,22,22,26
22,22,22,24,24,24,21,23,23,23,23
30,30,30,30,23,22,27,22,22,22,25
23,23,23,25,24,25,22,24,24,24,27
26,26,26,27,28,30,26,21,21,21,25
26,26,26,26,25,25,29,24,24,24,27
29,29,29,26,27,23,31,22,22,22,32
23,23,23,26,25,27,22,23,23,23,22
27,27,27,28,28,22,26,22,22,22,30
31,31,31,34,34,28,31,22,22,22,30
28,28,28,30,30,26,28,20,20,20,28
27,27,27,24,24,29,23,20,20,20,23
26,26,26,26,27,28,27,20,20,20,26
19,19,19,19,19,25,17,20,20,20,22
22,22,22,24,22,23,22,20,20,20,20
26,26,26,26,26,25,25,20,20,20,24
23,23,23,21,24,28,22,20,20,20,23
18,18,18,20,20,27,18,20,20,20,19
23,23,23,21,21,28,23,20,20,20,19
21,21,21,25,22,23,22,20,20,20,21
24,24,24,25,25,28,24,20,20,20,25
27,27,27,24,21,30,24,20,20,20,27
31,31,31,31,32,28,30,20,20,20,31
22,22,22,24,23,28,24,20,20,20,25
28,28,28,28,27,28,23,20,20,20,27
24,24,24,26,26,23,24,20,20,20,22
23,23,23,23,22,22,21,20,20,20,24
25,25,25,26,28,25,26,20,20,20,26
29,29,29,31,27,23,27,20,20,20,31
31,31,31,32,30,22,33,20,20,20,32
23,23,23,22,23,27,22,20,20,20,24
24,24,24,27,25,24,25,20,20,20,26
25,25,25,23,24,29,29,20,20,20,22
23,23,23,19,20,30,22,20,20,20,23
24,24,24,25,28,27,23,20,20,20,23
27,27,27,26,24,27,27,20,20,20,28
18,18,18,19,23,20,19,20,20,20,19
26,26,26,28,28,27,26,20,20,20,25
25,25,25,27,26,23,24,20,20,20,29
27,27,27,29,28,21,32,20,20,20,28
18,18,18,18,17,27,18,20,20,20,19
27,27,27,29,33,24,27,20,20,20,28
29,29,29,25,24,26,29,20,20,20,30
25,25,25,28,27,22,26,20,20,20,26
20,20,20,22,21,20,19,20,20,20,20
23,23,23,21,21,25,27,20,20,20,23
24,24,24,24,25,31,22,20,20,20,25
